iter	Logloss
0	0.6869537036
1	0.6808673541
2	0.6743361155
3	0.6674859789
4	0.6603512764
5	0.65468057
6	0.648112562
7	0.6425596343
8	0.6370329327
9	0.6303788821
10	0.6246361203
11	0.6196556621
12	0.6139776972
13	0.6087107129
14	0.6026353306
15	0.5974808269
16	0.592774868
17	0.5874855783
18	0.5828292635
19	0.577920066
20	0.5719647408
21	0.5668333371
22	0.5621655782
23	0.5572958522
24	0.5526402791
25	0.5481884215
26	0.5435608758
27	0.5392869314
28	0.53529395
29	0.5304341846
30	0.5255226559
31	0.5202703476
32	0.5162473255
33	0.511584176
34	0.5071808497
35	0.5026127497
36	0.4986541006
37	0.4945436584
38	0.48998838
39	0.4860216777
40	0.4820765389
41	0.4782098134
42	0.4739214579
43	0.469889164
44	0.4662495719
45	0.462363455
46	0.4593931834
47	0.4555431472
48	0.4523236487
49	0.4494152069
50	0.4456382328
51	0.4423121346
52	0.4389659829
53	0.4356567595
54	0.4324287309
55	0.4295654297
56	0.4265114466
57	0.4230781131
58	0.4198185073
59	0.4164041943
60	0.4132872952
61	0.4103652371
62	0.4074359205
63	0.4042805301
64	0.4017771615
65	0.3990928597
66	0.3960240152
67	0.3931713104
68	0.3903963831
69	0.3876220385
70	0.3851341407
71	0.3822369576
72	0.3793770207
73	0.3767573039
74	0.3741395738
75	0.371294419
76	0.3684879939
77	0.3656527731
78	0.3632090622
79	0.360698488
80	0.3576123979
81	0.3554427624
82	0.3528386222
83	0.3507404327
84	0.3481215901
85	0.3459408548
86	0.3432679176
87	0.3413190312
88	0.3391485479
89	0.3368366294
90	0.3344173431
91	0.33238252
92	0.3302088843
93	0.3281163904
94	0.3261830277
95	0.3240471151
96	0.3219607141
97	0.3196972211
98	0.3177016046
99	0.3150233693
100	0.3127293852
101	0.3106356462
102	0.3087410132
103	0.306772391
104	0.3046397633
105	0.3027022415
106	0.3005279965
107	0.2983402676
108	0.2969662348
109	0.2953942352
110	0.2935832342
111	0.2915686236
112	0.2897289594
113	0.2880325582
114	0.285842816
115	0.2841674752
116	0.2824489805
117	0.2810665237
118	0.2795973884
119	0.2777358691
120	0.276048157
121	0.2743864854
122	0.2727116744
123	0.2712597847
124	0.2694757515
125	0.2676480876
126	0.2660909759
127	0.2642948627
128	0.2627661228
129	0.2612305482
130	0.2596070502
131	0.2581868172
132	0.2567746904
133	0.2551254696
134	0.2536547449
135	0.2521188524
136	0.2504187955
137	0.2491019037
138	0.2479189767
139	0.2466335562
140	0.2452457746
141	0.2438321378
142	0.2425719897
143	0.2411046823
144	0.239868376
145	0.238436328
146	0.2366122935
147	0.2350256973
148	0.2337017589
149	0.2324938774
150	0.2311154472
151	0.2298386892
152	0.2285292678
153	0.2271332741
154	0.2259491285
155	0.2247013516
156	0.2235857646
157	0.2224159506
158	0.2212472359
159	0.2201754649
160	0.2191588746
161	0.2180982033
162	0.2171151241
163	0.2159264088
164	0.2149142557
165	0.2136705319
166	0.2124458154
167	0.2114663919
168	0.2106102043
169	0.2092647023
170	0.2082930671
171	0.2067862617
172	0.2057155768
173	0.2046521107
174	0.2036350965
175	0.202547431
176	0.2015850147
177	0.2005082501
178	0.1995301512
179	0.1985448466
180	0.197552575
181	0.196570264
182	0.1956313186
183	0.1946556568
184	0.1938025157
185	0.1927564409
186	0.1918390989
187	0.1909628047
188	0.1899942292
189	0.188961943
190	0.1880554623
191	0.1871152586
192	0.1862305005
193	0.1853161256
194	0.1844374736
195	0.1835273372
196	0.182475196
197	0.1817003356
198	0.1808399757
199	0.1800102393
200	0.1791786353
201	0.1782829232
202	0.1774325371
203	0.1766939428
204	0.1760040389
205	0.1752989822
206	0.174573501
207	0.1737701098
208	0.1730320056
209	0.1723382208
210	0.1715534263
211	0.1707618237
212	0.1700077322
213	0.1693696181
214	0.1686513159
215	0.1680152416
216	0.1672774156
217	0.1664995352
218	0.165730834
219	0.1650239097
220	0.1643529336
221	0.1636206441
222	0.1629283428
223	0.1621041563
224	0.1614934868
225	0.1607716084
226	0.1599757274
227	0.1591804425
228	0.1585704221
229	0.157910188
230	0.1571558979
231	0.1565127505
232	0.1558253633
233	0.1552136209
234	0.1543634997
235	0.1538432704
236	0.1531398694
237	0.1524440183
238	0.1517246299
239	0.1511062516
240	0.1504793167
241	0.1497751077
242	0.1491634713
243	0.1485343112
244	0.1479616033
245	0.1473077138
246	0.1467301051
247	0.1460111936
248	0.1453927888
249	0.1448334985
250	0.1442300479
251	0.1436120272
252	0.1430198616
253	0.1424195766
254	0.1417987082
255	0.1411585278
256	0.1406197151
257	0.140086174
258	0.1393832895
259	0.1388487286
260	0.1383157571
261	0.1376555496
262	0.1372111109
263	0.1366885238
264	0.1360962126
265	0.1355848047
266	0.1348934438
267	0.1343890031
268	0.1338525878
269	0.1333069139
270	0.1327679952
271	0.1322034332
272	0.1316616933
273	0.1311262714
274	0.1306752364
275	0.1301525566
276	0.1296993626
